Code,Name,PermanentAddress1,PermanentAddress2,PermanentAddress3,PermanentCity,PermanentCountry,PermanentPostalcode,CorrespondanceAddress1,CorrespondanceAddress2,CorrespondanceAddress3,CorrespondanceCity,CorrespondanceCountry,CorrespondancePostalCode,Limit,ContactNumber,FaxNumber,RegistrationDate,
000002,OLYMPIC FLAIR,PRIVATE BAG X5,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021-9316131,021-9328127,2019-06-11,
000003,BOLTON FOOTWEAR,P O BOX 58,ELSIES RIVER,WESTERN CAPE,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021-5907000,021-5918951,2019-06-11,
000004,GOLDEN FOOTWEAR                ,PO BOX 6678                                 ,HALFWAY HOUSE                               ,1665                     ,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,031-3013021         ,021 510 4707  ,2019-06-11,
000005,ANDREOLI SHOES                 ,5 MOSS ROAD                                 ,WESTMEAD                                    ,PINETOWN                 ,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,7002370             ,7001165             ,2019-06-11,
000006,MEDICUS FOOTWEAR               ,PO BOX 23001                                ,PORT ELIZABETH                              ,6000                     ,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,2672866             ,2672868             ,2019-06-11,
000007,ELEFANTE SHOES                 ,40 BROOKLYN ROAD                            ,                              SPRINGFIELD              ,           SPRINGFIELD                                 ,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,4685205             ,021 510 4707  ,2019-06-11,
000008,ORKOTOS SIXTYEIGHT TA-FOOTLIB ,2ND FLOOR;EASTGATE OFFIC                    ,TOWERS;BEDFORDVIEW                          ,2008                     ,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,622-6209            ,622-7302            ,2019-06-11,
000009,DICK WHITTINGTON,31 OLD MAIN RD,PMB,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000010,INTERSHU DISTRUTORS            ,P.O.BOX 2337                                ,PARKLANDS                                   ,2121                     ,S.A                      ,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,011-4632195         ,011-4634088         ,2019-06-11,
000011,INTERSHU GRA005,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000012,WAREHOUSE                      ,15 DERBY STREET                             ,2ND FLOOR                                   ,RANDEREE CENTRE          ,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,3092262             ,021 510 4707  ,2019-06-11,
000013,HARLEY DAVIDSON                ,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000014,AZALEIA SHOES                  ,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,                    ,2019-06-11,
000015,ESCADEI                        ,460 WEST STREET                             ,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,                    ,2019-06-11,
000016,TAIGO TRADING                  , PO BOX 4870                                ,DURBAN                                      ,4000                     ,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,031-3031607         ,0314-3031647        ,2019-06-11,
000017,MEGA BRANDS                    ,P O BOX 4870                                ,DURBAN                                      ,4000                     ,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,031-3031607         ,031-3031647         ,2019-06-11,
000019,STREETFEET SHOES               ,ALLIED AGENGENCIES                          ,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,2672866             ,021 510 4707  ,2019-06-11,
000020,HMP BAGS                       ,CITY                                        ,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000021,SKECHERS[FOOTWEAR TRADING]     ,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000022,OUDTSHOORN FOOTWEAR            ,PO BOX 126                                  ,10 JACOBSON STREET                          ,OUDTSHOORN               ,6620                     ,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,031-3032735         ,031-3032736         ,2019-06-11,
000023,JORDAN AND CO.                 ,INDUSTRIAL CENTRE                           ,MALHERBE STREET                             ,ELSIES RIVER             ,7460                     ,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021-5917261         ,5918951             ,2019-06-11,
000024,EDDELS [PTY] LTD               ,440 VICTORIA RD                             ,PMB                                         ,3200                     ,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,031-3062801         ,031-3048537         ,2019-06-11,
000025,FUTURA SHOES                   ,UNIT1                                       ,MANCHESTER PARK                             ,MANCHESTER RD            ,PINETOWN                 ,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,7014951             ,7026191             ,2019-06-11,
000026,GLACIER ENTERPRISES            ,32 GLYNN STREET                             ,CAPE TOWN                                   ,8001                     ,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021-4623630         ,4652518             ,2019-06-11,
000027,BIRKENSTOCK,SHOP 14,170 BRAMFISCHER DRIVE,GARDENS MALL,RANDBURG,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,011-8868930,011-8866467,2019-06-11,
000028,MAGNUM FOOTWEAR                ,789 SUNSET AVENUE                           ,WOODHURST                                   ,CHATSWORTH               ,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,031 4651415         ,031 4651517         ,2019-06-11,
000029,MICHELLE FOOTWEAR              ,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000030,FOOTWEAR TRADING               ,P.O/BOX 39594                               ,BOOYSENS                                    ,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,4936151             ,4930150             ,2019-06-11,
000031,CORRIDA SHOES                  ,19 MANCHESTER RD                            ,ALLANDALE                                   ,PMB                      ,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,033-3871290         ,033-3875366         ,2019-06-11,
000032,BUSBY TRADING                  ,POBOX 16647                                 ,DOORNFONTEIN                                ,JOHANESBURG              ,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,011-6272727         ,011-4024802         ,2019-06-11,
000033,DALE FOOTWEAR                  ,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000034,ANT SHOE COMPANY               ,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000035,LEVE FOOTWEAR                  ,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000036,STEVEKIDD TRADING,267 MIMOSA ROAD,BLACKHEATH,2195,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,011-4763322,011-4763435,2019-06-11,
000037,UNIVERSAL FOOTWEAR             ,P O BOX 264                                 ,PAARDEN EILAND                              ,7420                     ,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707        ,021-5104718         ,2019-06-11,
000038,COSMO  FOOTWEAR                ,POBOX 1538                                  ,JAN SMUTS AVENUE                            ,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021-9316131         ,021-9318127         ,2019-06-11,
000039,VERSATILE SOLUTIONS            ,JOHANNESBURG                                ,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,021 510 4707  ,021 510 4707  ,2019-06-11,
000040,SHOE KING [PTY] LTD,1ST FLOOR,408 WEST  STREET,DURBAN,SPRINGFIELD,PORT ELIZABETH  ,282007,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,SPRINGFIELD,0,031-3062801,031-3048537,2019-06-11,
